Element_ID,Stretch_Value
1,1.05199045236
2,1.04560266674
3,1.05400190891
4,1.04687364835
5,1.05278820573
6,1.05614172722
7,1.05469141231
8,1.05545225365
9,1.05038397092
10,1.04043980716
11,1.05095167535
12,1.04130137187
13,1.03780985021
14,1.05254524696
15,1.05616720873
16,1.04827980998
17,1.06426576464
18,1.05184599464
19,1.05136690766
20,1.05582531216
21,1.04240600039
22,1.04322680432
23,1.04357286214
24,1.0493850536
25,1.05473061867
26,1.05605161581
27,1.04620226838
28,1.05715270478
29,1.04652130539
30,1.04157878941
31,1.05389861293
32,1.05671570294
33,1.0591621814
34,1.05791867173
35,1.05480194603
36,1.05206114839
37,1.05736853953
38,1.06139686373
39,1.05150983828
40,1.030181718
41,1.04577125538
42,1.05668679018
43,1.04293126513
44,1.05753190223
45,1.05956031445
46,1.03863642073
47,1.06679785554
48,1.05456886218
49,1.05913086242
50,1.04189335555
51,1.03824844745
52,1.05354144595
53,1.04710752967
54,1.03765968736
55,1.04248194748
56,1.06143263412
57,1.04020795322
58,1.04847475834
59,1.04081657777
60,1.06153708083
61,1.05123211911
62,1.04580020789
63,1.05158665057
64,1.04574405781
65,1.04744812371
66,1.05198372493
67,1.03606548565
68,1.03648759327
69,1.05384256277
70,1.06138521853
71,1.0563766337
72,1.04593996792
73,1.04776204728
74,1.04201359277
75,1.06159911497
76,1.05917275458
77,1.04938910381
78,1.03294093202
79,1.0500629706
80,1.04757678308
81,1.04790793179
82,1.06108637717
83,1.06093227986
84,1.04971234566
85,1.04567713702
86,1.02582556177
87,1.04525922375
88,1.04891774254
89,1.05234368593
90,1.04128975059
91,1.04979409306
92,1.04492056309
93,1.0466415683
94,1.03858051057
95,1.04698563955
96,1.02799782188
97,1.04768330876
98,1.05735362583
99,1.02530323929
100,1.04307984762
101,1.04398186707
102,1.05044307733
103,1.05716658731
104,1.06716256124
105,1.05517936724
106,1.05523268079
107,1.04544024604
108,1.04127190992
109,1.0372679748
110,1.05210428798
111,1.04743745439
112,1.05035188196
113,1.07319533115
114,1.05092496019
115,1.04524975191
116,1.04209730903
117,1.04860791646
118,1.04975597322
119,1.02642448048
120,1.05684807464
121,1.04390542501
122,1.03183475406
123,1.03092422438
124,1.06145433208
125,1.05476123887
126,1.05584112445
127,1.07256916209
128,1.05095694086
129,1.05070320249
130,1.04677206719
131,1.04802711713
132,1.06183671551
133,1.04470868144
134,1.05311803583
135,1.05468291995
136,1.05006355014
137,1.057055593
138,1.07825422725
139,1.03538340695
140,1.0444561528
141,1.04390755867
142,1.04712467515
143,1.04780802228
144,1.02942335004
145,1.04443879879
146,1.04388610409
147,1.05112944142
148,1.02929559369
149,1.04235079335
150,1.05614351956
151,1.05947218543
152,1.0306375881
153,1.04616273177
154,1.05294086235
155,1.03422729663
156,1.0350083737
157,1.0524446855
158,1.06132731144
159,1.04993369484
160,1.02059454402
161,1.07680125974
162,1.05555432272
163,1.04737974167
164,1.03585115256
165,1.03793549596
166,1.0229472424
167,1.05079361689
168,1.03688852322
169,1.05218114723
170,1.04584302127
171,1.03788353014
172,1.05003997575
173,1.0356940019
174,1.05999776644
175,1.05789202675
176,1.02214944258
177,1.05230846352
178,1.06169618911
179,1.02661165447
180,1.02604085679
181,1.05701347194
182,1.05379154535
183,1.04163945589
184,1.05847531047
185,1.0472892954
186,1.065778475
187,1.04148279998
188,1.0503265873
189,1.02027977444
190,1.03990076713
191,1.03608641701
